TOWNCODE,COUNTYNAME,TOWNNAME,households,population,male,female,high_count,medium_count,low_count,safe_count,high_capacity,medium_capacity,low_capacity,safe_capacity,risk_capacity,required_safe_capacity,capacity_gap,gap_flag
65000010,新北市,板橋區,238569,549515,265180,284335,10,12,9,0,11129,13982,12498,0,37609,109903.0,109903.0,True
68000010,桃園市,桃園區,209386,478629,229534,249095,25,19,10,2,13049,4165,8400,154,25614,95725.8,95571.8,True
68000020,桃園市,中壢區,190770,439290,213576,225714,52,20,22,0,35254,9190,14528,0,58972,87858.0,87858.0,True
65000050,新北市,新莊區,177321,420922,203732,217190,17,10,9,0,12743,6443,6862,0,26048,84184.4,84184.4,True
65000030,新北市,中和區,183037,403396,193400,209996,1,9,12,0,92,11211,16182,0,27485,80679.2,80679.2,True
65000020,新北市,三重區,172913,382749,186440,196309,8,14,14,0,8821,6112,15085,0,30018,76549.8,76549.8,True
64000120,高雄市,鳳山區,154865,352745,170690,182055,13,12,11,0,11856,12416,14274,0,38546,70549.0,70549.0,True
64000050,高雄市,三民區,149899,328532,156619,171913,24,7,7,0,20328,4909,9480,0,34717,65706.4,65706.4,True
66000080,臺中市,北屯區,137901,317532,150057,167475,17,12,3,0,16026,12244,1433,0,29703,63506.4,63506.4,True
65000060,新北市,新店區,143782,306636,146119,160517,26,7,1,0,26112,13423,250,0,39785,61327.2,61327.2,True
